date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:36:17	638/638	---MCZ	200	added ('OK')	text/plain	date:Tue,%2013%20Jan%202026%2019:36:15%20GMT	https://www.repealparkingban.org/robots.txt		(from )
14:36:17	27250/27250	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Jan%202026%2019:36:15%20GMT	https://www.repealparkingban.org/	C:/My%20Web%20Sites/rpb/www.repealparkingban.org/index.html	(from )
14:36:17	26819/26819	---M--	200	added ('OK')	image/png	etag:0x8DD7E79141695C4	https://content.campaignpartner.net/images/137730/parking_favicon.png	C:/My%20Web%20Sites/rpb/content.campaignpartner.net/images/137730/parking_favicon.png	(from https://www.repealparkingban.org/)
14:36:18	301/301	---M--	200	added ('OK')	application/rss+xml	date:Tue,%2013%20Jan%202026%2019:36:16%20GMT	https://www.repealparkingban.org/rss/news.xml	C:/My%20Web%20Sites/rpb/www.repealparkingban.org/rss/news.xml	(from https://www.repealparkingban.org/)
14:36:18	348/348	---MCZ	200	added ('OK')	text/xml	date:Tue,%2013%20Jan%202026%2019:36:16%20GMT	https://www.repealparkingban.org/rss/events.xml	C:/My%20Web%20Sites/rpb/www.repealparkingban.org/rss/events.xml	(from https://www.repealparkingban.org/)
14:36:18	17296/17296	---MCZ	200	added ('OK')	text/css	etag:%221d92a95f69b7190%22	https://www.repealparkingban.org/local_css/foundation-icons.css	C:/My%20Web%20Sites/rpb/www.repealparkingban.org/local_css/foundation-icons.css	(from https://www.repealparkingban.org/)
14:36:19	94118/94118	---MCZ	200	added ('OK')	text/css	date:Sat,%2013%20Dec%202025%2019:36:17%20GMT	https://www.repealparkingban.org/css2/15739_638978058615130000.css	C:/My%20Web%20Sites/rpb/www.repealparkingban.org/css2/15739_638978058615130000.css	(from https://www.repealparkingban.org/)
14:36:19	226/226	---MCZ	200	added ('OK')	text/css	date:Tue,%2013%20Jan%202026%2019:36:17%20GMT	https://www.repealparkingban.org/custom-css_638954480967830000.css	C:/My%20Web%20Sites/rpb/www.repealparkingban.org/custom-css_638954480967830000.css	(from https://www.repealparkingban.org/)
14:36:19	5852/5852	---MCZ	200	added ('OK')	text/javascript	etag:%221dc6e9185e5865c%22	https://www.repealparkingban.org/js/click-to-zoom.js	C:/My%20Web%20Sites/rpb/www.repealparkingban.org/js/click-to-zoom.js	(from https://www.repealparkingban.org/)
14:36:19	4203/4203	---MCZ	200	added ('OK')	text/css	etag:%221dc3c7bf860b76b%22	https://www.repealparkingban.org/css/campaign-2.css?v7	C:/My%20Web%20Sites/rpb/www.repealparkingban.org/css/campaign-2e6dd.css	(from https://www.repealparkingban.org/)
14:36:20	105300/105300	---MCZ	200	added ('OK')	text/javascript	etag:%221db65e9976ed154%22	https://www.repealparkingban.org/scripts/jquery-3.7.1.min.js	C:/My%20Web%20Sites/rpb/www.repealparkingban.org/scripts/jquery-3.7.1.min.js	(from https://www.repealparkingban.org/)
14:36:20	32816/32816	---MCZ	200	added ('OK')	text/javascript	etag:%221dc7cdf8aa62330%22	https://www.repealparkingban.org/scripts/navigation.js?v28	C:/My%20Web%20Sites/rpb/www.repealparkingban.org/scripts/navigatione2a1.js	(from https://www.repealparkingban.org/)
14:36:21	13598/13598	---MCZ	200	added ('OK')	text/javascript	etag:%221dc66b6b0c4189e%22	https://www.repealparkingban.org/scripts/main.js?v2	C:/My%20Web%20Sites/rpb/www.repealparkingban.org/scripts/main1b26.js	(from https://www.repealparkingban.org/)
14:36:21	798/798	---MCZ	200	added ('OK')	text/javascript	etag:%221d92a95f69b311e%22	https://www.repealparkingban.org/scripts/sticky.js	C:/My%20Web%20Sites/rpb/www.repealparkingban.org/scripts/sticky.js	(from https://www.repealparkingban.org/)
14:36:21	201706/201706	---MCZ	200	added ('OK')	text/css	etag:%221dbc8e5b35c72ea%22	https://www.repealparkingban.org/local_css/fontawesome/css/fontawesome-min.css	C:/My%20Web%20Sites/rpb/www.repealparkingban.org/local_css/fontawesome/css/fontawesome-min.css	(from https://www.repealparkingban.org/)
14:36:22	587/587	---MCZ	200	added ('OK')	text/css	etag:%221d9d462f23b594b%22	https://www.repealparkingban.org/local_css/fontawesome/css/regular.css	C:/My%20Web%20Sites/rpb/www.repealparkingban.org/local_css/fontawesome/css/regular.css	(from https://www.repealparkingban.org/)
14:36:22	19809/19809	---MCZ	200	added ('OK')	text/css	etag:%221dbc8e526b4ee61%22	https://www.repealparkingban.org/local_css/fontawesome/css/brands.css	C:/My%20Web%20Sites/rpb/www.repealparkingban.org/local_css/fontawesome/css/brands.css	(from https://www.repealparkingban.org/)
14:36:22	22955/22955	---MCZ	200	added ('OK')	text/javascript	etag:%221d92a95f69b6bab%22	https://www.repealparkingban.org/scripts/jquery.cycle2.min-new.js	C:/My%20Web%20Sites/rpb/www.repealparkingban.org/scripts/jquery.cycle2.min-new.js	(from https://www.repealparkingban.org/)
